恒大雅苑 前面绿地和湖景 看房随时联系 精装修房,恒大雅苑 -宝华商圈,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,80,"6,558元/平"
仙林东 万达茂 经天路 翡翠华府精装三房,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.18平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,117,"10,159元/平"
低密度小区业主自装户型方正生活设施齐全,帝源都小区二期 -宝华商圈,3室2厅 | 103.51平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,86,"8,309元/平"
南北格局好楼层好采光足视野开阔朝南户型方正,春天里 -宝华商圈,2室2厅 | 101平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,72,"7,129元/平"
宝华彩虹城86平三房户型房正 三开间朝南,彩虹城 -宝华商圈,3室2厅 | 86平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,80,"9,303元/平"
户型方正，采光充足。。。。。。。,碧桂园仙林东郡 -宝华商圈,3室2厅 | 106.39平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,99.5,"9,353元/平"
房子户型好，全南户型，双阳台，交通方便,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 138平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,146,"10,580元/平"
动静分离，房间方正，中间楼层，,恒大雅苑 -宝华商圈,3室2厅 | 144.93平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,140,"9,660元/平"
仙林东，宝华山风景区，四室两厅两卫，诚心出售,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,105,"8,537元/平"
满两年 楼层好 无遮挡-全天采光,恒大雅苑 -宝华商圈,3室1厅 | 111平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,88,"7,928元/平"
后无遮挡，诚心出售，采光较好，楼间距大。,玉兰花园二期和园 -宝华商圈,3室1厅 | 110平米 | 南 | 毛坯 | 高楼层(共11层)  | 塔楼,66,"6,000元/平"
宝华花园 装修三房 房主诚心出售 看房方便,宝华花园 -宝华商圈,3室1厅 | 100平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,56,"5,600元/平"
同城世家别墅区花园洋房 采光充足,同城世家 -宝华商圈,3室2厅 | 116平米 | 南 | 毛坯 | 10层  | 板楼,165,"14,225元/平"
宸悦赋 140平层 视野采光不挡 精装修,旭辉宸悦赋 -句容主城商圈,3室2厅 | 141平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,153,"10,852元/平"
仙林湖把万达旁 山景房 南北三室 有钥匙 诚售,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,75,"7,895元/平"
二次精装修 南北向大两居 品质物业 高档楼盘,恒大雅苑 -宝华商圈,2室2厅 | 99平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,70,"7,071元/平"
有车位宝华山下小高层得房率高采光好户型方正,碧桂园伯爵山 -宝华商圈,3室2厅 | 125.24平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,102,"8,145元/平"
仙林东宝华花园低总价房源诚意出售,宝华花园 -宝华商圈,2室2厅 | 58平米 | 南 | 简装 | 6层  | 板楼,39,"6,725元/平"
仙林东香山壹境别墅中的花园洋房环境好,香山壹境 -宝华商圈,2室2厅 | 79.71平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,72,"9,033元/平"
二次精装修两房，中间楼层，采光无遮挡,恒大雅苑 -宝华商圈,2室2厅 | 89平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,80,"8,989元/平"
恒大雅苑旁 天正理想城 74平 精装两房 满两年 无贷款,天正理想城 -宝华商圈,2室2厅 | 74.19平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,79,"10,649元/平"
此房满五唯一，产证在手，楼层好，采光足，视野开阔,恒大雅苑 -宝华商圈,3室2厅 | 131.19平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,118,"8,995元/平"
山景房 环境优美 交通便利 采光好 楼间距大 物业好,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,79,"8,316元/平"
270大平层、五房两厅三卫，视野好，位置佳，,碧桂园凤凰城芷兰湾 -凤凰城商圈,5室2厅 | 270平米 | 东南 南 | 精装 | 高楼层(共30层)  | 塔楼,204.5,"7,575元/平"
二次精装修两房，中间楼层，采光无遮挡,恒大雅苑 -宝华商圈,2室2厅 | 89平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,80,"8,989元/平"
宝华山下，花园洋房，采光充足。,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 88.92平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,120,"13,496元/平"
宝华山下大学印象山景房 三面环山 依山傍水 全南户型,碧桂园大学印象 -宝华商圈,3室1厅 | 95平米 | 南 | 毛坯 | 高楼层(共33层)  | 平房,75,"7,895元/平"
万达茂旁宝华山下 低价两房户型好 带储藏室 双地铁线,玉兰花园 -宝华商圈,2室2厅 | 87平米 | 南 | 简装 | 6层  | 板塔结合,44,"5,058元/平"
大学印象 仙林大道 宝华山 诚心出售,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 132.4平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,138.5,"10,461元/平"
小区环境好，房子互相方正，采光好,碧桂园仙林东郡 -宝华商圈,3室2厅 | 124平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,101,"8,146元/平"
山景房小区环境好，业主诚心出售,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,70,"7,217元/平"
仙林东 万达茂旁 恒大雅苑精装大户型,恒大雅苑 -宝华商圈,4室2厅 | 158.18平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,147,"9,294元/平"
近万达茂地铁口  仙林大学城以东 仙林悦城  配套齐全,仙林悦城 -宝华商圈,3室2厅 | 89.6平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,100,"11,161元/平"
户型方正，无遮挡，精装带地暖，交通便利，配套齐全。,泰达青筑 -宝华商圈,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共24层)  | 平房,115,"10,649元/平"
业主诚意售房，满二有抵押。无遮挡采光好,碧桂园凤凰城临湖苑 -凤凰城商圈,5室2厅 | 269.35平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,213,"7,908元/平"
仙林湖万达旁 山景房天然氧吧 东边户 30万装修 有车位,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,150,"10,715元/平"
仙林东，宝华花园，精装出售，大三房，诚心卖,宝华花园 -宝华商圈,3室2厅 | 101平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,65.4,"6,476元/平"
仙林东 朗诗科技住宅 精装修 洋房,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 120平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,181,"15,084元/平"
山景房东边户，户型采光很好，看房方便,玉兰花园二期和园 -宝华商圈,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,70,"6,364元/平"
楼层好，采光足，视野好，户型方正,碧桂园翡翠华府 -宝华商圈,3室1厅 | 95平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,85,"8,948元/平"
新城源山 山景别墅 4a宝华山 环境优美 空气清新,新城源山 -宝华商圈,4室2厅 | 129平米 | 南 | 毛坯 | 6层  | 平房,153,"11,861元/平"
濠锋星钻精装加地暖2房出售  随时看房  免费带看,濠锋星钻 -宝华商圈,2室2厅 | 84平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,73,"8,691元/平"
格局好，楼层好，采光足，视野开阔,泰禾金尊府 -宝华商圈,3室2厅 | 91.1平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,81,"8,892元/平"
房子格局好，楼层好，采光足， 三开间朝南，户型方正,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,130,"11,017元/平"
格局好，楼层好，采光足，视野开阔，朝南，户型方正,彩虹城 -宝华商圈,3室2厅 | 86.74平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,72,"8,301元/平"
格局好，楼层好，采光足，视野开阔.,泰禾金尊府 -宝华商圈,3室2厅 | 95平米 | 南 | 毛坯 | 中楼层(共29层)  | 板楼,105,"11,053元/平"
楼层好，采光足，视野好，户型方正,碧桂园翡翠华府 -宝华商圈,3室1厅 | 95平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,92,"9,685元/平"
公园尚城，4房2卫，旁边公园、县中。,公园尚城 -句容主城商圈,4室2厅 | 143.69平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,117.8,"8,199元/平"
视野开阔 楼层好 格局好 设备齐全 交通方便 通透户型,碧桂园·江南世家 -句容主城商圈,3室2厅 | 96平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,69,"7,188元/平"
地段好 中间楼层 近地铁 业主急售 天正理想城,天正理想城 -宝华商圈,3室2厅 | 104.81平米 | 南 | 简装 | 中楼层(共34层)  | 塔楼,82,"7,824元/平"
经典三房户型。不带走廊无浪，高品质小区,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,80,"8,422元/平"
仙林东  泰达青筑  物业好  交通方便,泰达青筑 -宝华商圈,4室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,102,"8,718元/平"
精装三房，省去装修的烦恼，拎包入住呦！,招商国际E城 -宝华商圈,3室2厅 | 91.05平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,127,"13,949元/平"
全屋定制 没有住过 无贷款 满二年 中间楼层,碧桂园大学印象 -宝华商圈,3室2厅 | 96平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,94.99,"9,895元/平"
精装三房，省去装修的烦恼，拎包入住呦！,招商国际E城 -宝华商圈,3室2厅 | 91.05平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,127,"13,949元/平"
仙林东  配套完善  楼层好 精装,恒大雅苑 -宝华商圈,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,96,"7,500元/平"
楼层好，视野宽阔，采光充足，配套设施齐交通便利,濠锋星钻 -宝华商圈,2室2厅 | 82.53平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,72,"8,725元/平"
仙林东   宝华镇   招商国际   有装修,招商国际E城 -宝华商圈,3室1厅 | 92平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,105,"11,414元/平"
精装三房，二楼带平台，视野开阔。,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 91平米 | 南 | 精装 | 低楼层(共8层)  | 板塔结合,125,"13,737元/平"
大平层，空中花园 格局好 楼层好 采光充足  户型方正,碧桂园大学印象 -宝华商圈,4室2厅 | 177.64平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,147,"8,276元/平"
仙林万达茂东，恒大雅苑，经典小三房，拎包入住。,恒大雅苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,84,"8,843元/平"
宝华花园 三房中间楼层，阳光好，随时看房有证,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,53,"5,249元/平"
楼层好，采光充足，阳光刺眼，户型方正,恒大雅苑 -宝华商圈,3室2厅 | 175平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,152,"8,686元/平"
品质小区  精装带地暖 南北双阳台 中间楼层 中间位置,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,80,"8,422元/平"
仙林东  山景洋房  小区环境好   房东自住装修,九曲花苑 -宝华商圈,3室2厅 | 82.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,101,"12,228元/平"
仙林东宝华，恒大雅苑精装房 配套齐全 交通方便,恒大雅苑 -宝华商圈,4室2厅 | 159.29平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,134,"8,413元/平"
花园洋房带院子南北通透环境优美,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,142,"15,605元/平"
红本在手 随时过户 精装加地暖  中高层 采光好,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,119,"12,527元/平"
恒大雅苑 湖景房 好楼层，南北通风，满两年,恒大雅苑 -宝华商圈,3室2厅 | 130平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,112,"8,616元/平"
春天里三室两厅 户型方正 采光视野好 自住装修,春天里 -宝华商圈,3室2厅 | 118.94平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,93,"7,820元/平"
边户三房，采光好，视野好，户型好，两房朝南,朗诗万都玲珑樾 -宝华商圈,3室1厅 | 88平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板塔结合,91,"10,341元/平"
业主换房南京 诚心出售 中间楼层 小区位置无遮挡,招商国际E城 -宝华商圈,3室2厅 | 87平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,82,"9,426元/平"
带车位，全新未住，小高层精装修好楼层采光好,碧桂园伯爵山 -宝华商圈,3室1厅 | 131.9平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,104,"7,885元/平"
宝华山下 精装修三房 满两年  诚心出售,朗诗万都玲珑樾 -宝华商圈,3室1厅 | 92平米 | 南 | 精装 | 中楼层(共19层)  | 板塔结合,126,"13,696元/平"
恒大雅苑 精装三房出售 中间楼层 采光充,恒大雅苑 -宝华商圈,3室2厅 | 136平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,114,"8,383元/平"
房子格局好，户型方正配套设施齐，交通便利·楼层好,天正理想城 -宝华商圈,2室1厅 | 74.28平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,67,"9,020元/平"
户型好  采光好  无遮挡  品质花园洋房,朗诗万都玲珑樾 -宝华商圈,3室1厅 | 95平米 | 南 | 毛坯 | 高楼层(共19层)  | 板塔结合,88,"9,264元/平"
装修好的 随时入住 户型好 配套方便,恒大雅苑 -宝华商圈,2室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,86,"8,776元/平"
精装未入住，中高楼层，边户采光好，空气流通性好！,恒大雅苑 -宝华商圈,4室2厅 | 158.18平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,112.5,"7,113元/平"
恒大4室湖景房 空置精装全屋墙纸 中间楼层 看房方便,恒大雅苑 -宝华商圈,4室2厅 | 158.14平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,119.99,"7,588元/平"
万达茂旁  经典两房 户型方正 随时可看,彩虹城 -宝华商圈,3室2厅 | 85.59平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,73.4,"8,576元/平"
万达茂旁 一线山景房 格局好 户型方正 有阁楼 采光好,玉兰花园 -宝华商圈,3室2厅 | 86平米 | 南 | 毛坯 | 6层  | 板塔结合,50,"5,814元/平"
业主诚心卖，中间楼层，采光好，价格好商量。,恒大雅苑 -宝华商圈,2室1厅 | 103.44平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,85,"8,218元/平"
中间楼层，小区中间位置，业主急售。精装修,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 92平米 | 南 | 精装 | 中楼层(共19层)  | 板塔结合,113,"12,283元/平"
仙林悦城 精装两房 诚心出售 随时看房,仙林悦城 -宝华商圈,2室1厅 | 64平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,45,"7,032元/平"
现代简约装修，采光充足，四开间朝南，山景一览无遗！,碧桂园大学印象 -宝华商圈,4室2厅 | 142.87平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,143,"10,010元/平"
万达茂旁 一线山景房 格局好 户型方正 有阁楼 采光好,玉兰花园 -宝华商圈,3室2厅 | 86平米 | 南 | 毛坯 | 6层  | 板塔结合,50,"5,814元/平"
泰达青筑 央企开发商 精装新风空调地暖,泰达青筑 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,130,"13,403元/平"
装修好的 随时入住 户型好 配套方便,恒大雅苑 -宝华商圈,2室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,86,"8,776元/平"
恒大4室湖景房 空置精装全屋墙纸 中间楼层 看房方便,恒大雅苑 -宝华商圈,4室2厅 | 158.14平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,119.99,"7,588元/平"
楼层好、采光好、视野开阔！房东很好讲话,恒大雅苑 -宝华商圈,3室1厅 | 126平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,105,"8,334元/平"
宝华片区双地铁 交通发达 红本在手 精装三开间南,碧桂园仙林东郡 -宝华商圈,3室1厅 | 96平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,78,"8,125元/平"
格局好，采光充足，四开间朝南，山景一览无遗！,碧桂园大学印象 -宝华商圈,4室2厅 | 142.87平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,140,"9,800元/平"
万达茂旁  经典两房 户型方正 随时可看,彩虹城 -宝华商圈,3室2厅 | 85.59平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,73.4,"8,576元/平"
万达茂旁 央企招商国际E城 品质物业 东边户三房两卫,招商国际E城 -宝华商圈,3室2厅 | 105平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,97,"9,239元/平"
精装未入住，中高楼层，边户采光好，空气流通性好！,恒大雅苑 -宝华商圈,4室2厅 | 158.18平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,112.5,"7,113元/平"
中间楼层，小区中间位置，业主急售。精装修,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 92平米 | 南 | 精装 | 中楼层(共19层)  | 板塔结合,113,"12,283元/平"
房子户型好，无遮挡，好楼层，精装,泰达青筑 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,88,"9,073元/平"
天正理想城精装三房 纯西边户 满两年 付款方式无要求,天正理想城 -宝华商圈,3室2厅 | 85平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,79,"9,295元/平"
仙林东 同城世家 电梯花园洋房  户型方正,同城世家 -宝华商圈,3室2厅 | 116平米 | 南 | 精装 | 10层  | 板楼,126,"10,863元/平"
宝华首站，结婚装修25万四房房东急售,和昌仙林国际 -宝华商圈,4室2厅 | 109平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,105,"9,634元/平"
靠宝华山，精装带地暖四房两卫，满两年，大学印象,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 124平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,100,"8,065元/平"
采光无遮挡，边套隐私好，视野好,碧桂园翡翠华府 -宝华商圈,3室1厅 | 115.12平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,110,"9,556元/平"
碧桂园凤凰城 苏州园林旁 环境优美,碧桂园凤凰城·凤仪苑 -凤凰城商圈,5室2厅 | 267平米 | 南 北 | 精装 | 高楼层(共29层)  | 塔楼,185,"6,929元/平"
玉兰花园毛坯现房，采光好，户型方正。,玉兰花园 -宝华商圈,2室2厅 | 88平米 | 南 | 毛坯 | 6层  | 板塔结合,42,"4,773元/平"
现代简约装修，采光充足，四开间朝南，山景一览无遗！,碧桂园大学印象 -宝华商圈,4室2厅 | 142.33平米 | 南 | 精装 | 中楼层(共17层)  | 平房,130,"9,134元/平"
临南京 近地铁 交通便利 生活设施配套齐全,仙林悦城新街坊 -宝华商圈,3室1厅 | 115.9平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,88,"7,593元/平"
该社区新房刚推出不久，小区绿化充足，圈层属性较佳,碧桂园·中央公园 -句容主城商圈,4室2厅 | 143平米 | 南 | 简装 | 低楼层(共30层)  | 暂无数据,103,"7,203元/平"
小区环境优美，内有人工湖，出行便利，户型方正,碧桂园凤凰城临湖苑 -凤凰城商圈,5室2厅 | 274平米 | 东南 南 | 精装 | 中楼层(共31层)  | 塔楼,175,"6,387元/平"
万达茂旁宝华山下 品质花园洋房 双地铁线 无增值税,碧桂园仙林东郡 -宝华商圈,3室1厅 | 96平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,94,"9,792元/平"
依山傍水，刚需，养老，经典三房，精装带地暖。,碧桂园大学印象 -宝华商圈,3室2厅 | 96.89平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,85,"8,773元/平"
仙林东宝华山下 朗诗花园洋房 优质三房户型正 双地铁,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 88平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,94,"10,682元/平"
二次装修大平层，全屋品牌家具家电带地暖，拎包入住,碧桂园凤凰城芷兰湾 -凤凰城商圈,5室2厅 | 267.66平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,190,"7,099元/平"
宝华山麓，环境优美，天然氧吧，出行便利，全明,碧桂园仙林东郡 -宝华商圈,3室2厅 | 124.1平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,85,"6,850元/平"
临南京 近地铁 交通便利 生活设施配套齐全,仙林悦城新街坊 -宝华商圈,3室1厅 | 115.9平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,88,"7,593元/平"
玉兰花园毛坯现房，采光好，户型方正。,玉兰花园 -宝华商圈,2室2厅 | 88平米 | 南 | 毛坯 | 6层  | 板塔结合,42,"4,773元/平"
现代简约装修，采光充足，四开间朝南，山景一览无遗！,碧桂园大学印象 -宝华商圈,4室2厅 | 142.33平米 | 南 | 精装 | 中楼层(共17层)  | 平房,130,"9,134元/平"
仙林东  万达茂  宝华山   环境好,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 91.86平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,126,"13,717元/平"
该社区新房刚推出不久，小区绿化充足，圈层属性较佳,碧桂园·中央公园 -句容主城商圈,4室2厅 | 143平米 | 南 | 简装 | 低楼层(共30层)  | 暂无数据,103,"7,203元/平"
仙林东宝华碧桂园，精装带地暖，业主诚心出售！,碧桂园翡翠华府 -宝华商圈,3室2厅 | 96平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,88,"9,167元/平"
仙林悦城格局好开间朝南户型方采光足,仙林悦城 -宝华商圈,3室2厅 | 106平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,94,"8,868元/平"
小区环境优美，内有人工湖，出行便利，户型方正,碧桂园凤凰城临湖苑 -凤凰城商圈,5室2厅 | 274平米 | 东南 南 | 精装 | 中楼层(共31层)  | 塔楼,175,"6,387元/平"
此房户型方正采光好 小区环境好  交通便利..,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,122,"8,715元/平"
栖霞区仙林东 品牌开发商 口碑好 小区环境好,九曲花苑 -宝华商圈,2室1厅 | 86平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,95,"11,047元/平"
满两年，楼层好，采光足，视野好,香山壹境 -宝华商圈,3室2厅 | 93平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,89,"9,570元/平"
本小区格局好，采光足，视野开阔，朝南，户型方正。,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 92平米 | 北 南 | 毛坯 | 低楼层(共10层)  | 板塔结合,102,"11,087元/平"
仙林东仙林悦城精装两房诚意出售。。。。,仙林悦城 -宝华商圈,2室1厅 | 62.82平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,53,"8,437元/平"
翡翠华府二期 精装修 双阳台 边户,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 116.54平米 | 南 北 | 精装 | 低楼层(共30层)  | 暂无数据,105,"9,010元/平"
恒大雅苑  房东诚心出售 看房随时  南北通透 采光好,恒大雅苑 -宝华商圈,2室1厅 | 90.88平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,98,"10,784元/平"
房子格局好，户型方正，主卧朝南有飘窗，配套设施齐,金地格林LINE -宝华商圈,2室2厅 | 84.29平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,60,"7,119元/平"
此房满两年，楼层好，视野宽阔，采光充足，配套设...,恒大雅苑 -宝华商圈,2室1厅 | 87平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,99,"11,380元/平"
仙林东宝华山旁精装山景房诚意出售,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,103,"8,374元/平"
格局好，楼层好，采光足，视野开阔，朝南 ，交通便利,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95.89平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,69.5,"7,248元/平"
恒大雅苑精装大三房有大露台。看房方便,恒大雅苑 -宝华商圈,3室2厅 | 127.94平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,118,"9,224元/平"
旭辉宸悦赋 高档小区 小区环境好适合居住,旭辉宸悦赋 -句容主城商圈,3室2厅 | 124.6平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,115,"9,230元/平"
央企招商三房出售，业主急卖！！！,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,87,"9,158元/平"
南京东，宝华山景房，小区环境好，入住率高,碧桂园仙林东郡 -宝华商圈,3室2厅 | 94.56平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,79,"8,355元/平"
国企精装小三房 家具 家电 齐全,泰达青筑 -宝华商圈,3室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,75,"8,523元/平"
万达茂招商 双地铁 全明 满两年 央企自带物业,招商国际E城 -宝华商圈,3室2厅 | 91.05平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,94,"10,324元/平"
濠峯星钻 视野宽阔 采光充足 配套设施完整,濠锋星钻 -宝华商圈,2室2厅 | 83平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,60,"7,229元/平"
东方骏庭 舒适洋房 全屋精装 中间楼层,碧桂园中天东方骏庭 -宝华商圈,3室1厅 | 113.05平米 | 南 | 精装 | 7层  | 板楼,124,"10,969元/平"
格局好，楼层好，采光足，视野开阔，朝南,招商国际E城 -宝华商圈,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,120,"10,170元/平"
此房户型好 采光好 中间楼层视野好交通便利,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,129,"11,026元/平"
四季金辉品质小区经典3房，装修20万,四季金辉 -宝华商圈,3室1厅 | 76.5平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,70,"9,151元/平"
山景大平层 满两年 有钥匙随时看房,九曲花苑 -宝华商圈,4室2厅 | 159.65平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,235,"14,720元/平"
东边户 有车位 满二 小区中间 视野好 中上楼层 急售,远洋心里 -宝华商圈,3室2厅 | 99平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,82,"8,283元/平"
城南朝阳嘉园 毛坯 买一层  还有一层,朝阳嘉园 -句容主城商圈,5室3厅 | 107平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,65,"6,075元/平"
改善大户型 精装带地暖交通便利 小区环境优美,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,98,"7,968元/平"
