采光充足，交通便利，天鸿苑不临高速，有钥匙随时看房,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 132.2平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,73,"5,522元/平"
韵华庭好楼层 简装 诚心售 安静小区,琴韵华庭 -溧水城北,2室2厅 | 90.59平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,65,"7,176元/平"
房子满2年，毛坯，装修可自由发挥，采光足，视野好,南方名苑 -溧水城南,2室2厅 | 98平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,105,"10,715元/平"
此房是电梯房，户型好，开发商交付精装修，双阳台,橡树城 -溧水城北,2室2厅 | 80.93平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,85,"10,503元/平"
全屋地暖 楼层好，视野开阔，采光好。,万科城月桂苑 -溧水城南,3室1厅 | 93.56平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,114,"12,185元/平"
南方名苑 中等装修 满两年 户型方正 配套齐 价格可谈,南方名苑 -溧水城南,2室1厅 | 72平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,80,"11,112元/平"
总价低，采光好，前后无遮挡，业主诚心出售,一品骊城 -溧水城北,2室2厅 | 85.59平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,65,"7,595元/平"
丽湖湾 毛坯三房 游小金中旁 配套全交通方便,喜之郎丽湖湾 -溧水城北,3室2厅 | 101.57平米 | 南 | 其他 | 高楼层(共21层)  | 板楼,75,"7,385元/平"
此房是城中少有的商品房新房带电梯的，交通和生活便利,华辉秦淮湾 -溧水城北,2室1厅 | 89.39平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼,68,"7,608元/平"
面湖背山 青山绿水 视野开阔 环境优美,卧龙湖 -溧水其它,2室2厅 | 77.42平米 | 西南 南 | 简装 | 中楼层(共20层)  | 板楼,40,"5,167元/平"
多层2房，有露台，使用面积大，满2年，看房方便,秦淮缘小区 -溧水城北,2室2厅 | 95.12平米 | 南 | 其他 | 5层  | 板楼,90,"9,462元/平"
环境优美，近海乐城，交通出行便利,天人佳园 -溧水城中,2室2厅 | 86平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,76,"8,838元/平"
溧水城北 低总价 毛坯 低楼层,琴韵华庭 -溧水城北,2室2厅 | 86.49平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,95,"10,984元/平"
朝北有中山湖地铁站，朝西有水岸康城公交车站,爱涛天岳城 -溧水城南,2室2厅 | 88.04平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,75,"8,519元/平"
溧水城北 机场路 金东城世家二期 精装修,金东城世家西园二期 -溧水城北,3室1厅 | 86.65平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,85,"9,810元/平"
边户3房电梯小洋房诚心出售价格好商量,金东城世家西园二期 -溧水城北,3室2厅 | 103.85平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,81.8,"7,877元/平"
恒大天鸿苑 景观房 精致两房 领包入住,恒大金碧天下天鸿苑 -溧水恒大,2室1厅 | 86.86平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,53,"6,102元/平"
房主诚意出售 户型好 楼层好 看房方便,宏进锦绣家园 -溧水城北,2室2厅 | 80.64平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,62,"7,689元/平"
简单装修 丽湖湾 两房 满两年 近公园 游府西街 金中,喜之郎丽湖湾 -溧水城北,2室2厅 | 81.02平米 | 南 | 其他 | 中楼层(共21层)  | 板楼,65,"8,023元/平"
电梯房高楼层，视野宽阔，采光充足，南北朝向，通风好,屏溪佳苑 -溧水其它,2室1厅 | 60.38平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,34.5,"5,714元/平"
空港新城 公办南外 银城荟见未来洋房 满二年 未入住,银城孔雀城荟见未来 -溧水其它,3室2厅 | 84平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,102,"12,143元/平"
华辉秦淮湾电梯毛坯房，价格可谈。,华辉秦淮湾 -溧水城北,2室1厅 | 89.39平米 | 南 | 其他 | 低楼层(共29层)  | 塔楼,67,"7,496元/平"
创维乐活城 电梯 洋房 清爽装修 3室 好楼层,创维乐活城 -溧水城北,3室2厅 | 107.95平米 | 南 | 其他 | 中楼层(共8层)  | 板塔结合,80,"7,411元/平"
城南好位置，环境优美，户型方正,中山首府 -溧水城南,2室1厅 | 89.14平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,111,"12,453元/平"
塞纳名邸104.27平出售，单价七千多，三房,塞纳名邸 -溧水城北,3室2厅 | 104.27平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,75,"7,193元/平"
卧龙湖两室两厅一卫，总价低，精装修，山景房,卧龙湖 -溧水其它,2室2厅 | 77.34平米 | 东南 南 | 其他 | 高楼层(共20层)  | 板楼,37,"4,785元/平"
中间楼层 景观房 阳光好 满两年,颐园世家 -溧水其它,2室2厅 | 89.46平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,42,"4,695元/平"
溧水卧龙湖小镇，环境优美，度假胜地,卧龙湖 -溧水其它,2室1厅 | 72.19平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,56,"7,758元/平"
中间楼层 景观房 阳光好 满两年,颐园世家 -溧水其它,2室2厅 | 89.46平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,42,"4,695元/平"
急急急   中山首府 满2年，出行方便，人车分流无遮挡,中山首府 -溧水城南,3室2厅 | 89.46平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,108,"12,073元/平"
多层底楼层，精装修没住过，户型方正明厨明卫,和春华府 -溧水其它,3室2厅 | 91.51平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,59,"6,448元/平"
高淳与溧水之间的交通必经之路，也是后期发展必经之处,颐园世家 -溧水其它,2室2厅 | 89.19平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,34,"3,813元/平"
电梯高楼层毛坯房，视野宽阔，采光充足！通风效果好！,屏溪佳苑 -溧水其它,2室1厅 | 60.38平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,35,"5,797元/平"
区位优势明显，生活设施配套齐全,尚城领寓 -溧水城中,2室2厅 | 89.87平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,68,"7,567元/平"
塞纳名邸104.27平出售，单价七千多，三房,塞纳名邸 -溧水城北,3室2厅 | 104.27平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,75,"7,193元/平"
创维乐活城 电梯房精装 3室满2 游府西街金陵 拎包入住,创维乐活城 -溧水城北,3室2厅 | 96.37平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,75,"7,783元/平"
纯毛坯房 户型好格局好方正 邻近学和地铁和购物,喜之郎丽湖湾 -溧水城北,3室2厅 | 101.57平米 | 南 | 其他 | 高楼层(共21层)  | 板楼,78,"7,680元/平"
开发商精装未入住 满二 近地铁 实验,万科城月桂苑 -溧水城南,3室2厅 | 94平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,125,"13,298元/平"
位于城南板块位置优，靠紧体育公园，医院,中山首府 -溧水城南,3室2厅 | 119平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,130,"10,925元/平"
市民之家旁十字路口地段  小三房   总价低 看房方便,爱涛天岳城 -溧水城南,3室2厅 | 84.92平米 | 南 北 | 其他 | 高楼层(共25层)  | 塔楼,86,"10,128元/平"
恒大临湖两房出售，中间楼层，视野好，采光佳,恒大金碧天下天鸿苑 -溧水恒大,2室1厅 | 85.99平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,53,"6,164元/平"
昱达花园，南京银行楼上。价格可议,昱达花苑东区 -溧水城中,3室1厅 | 128.3平米 | 南 | 其他 | 低楼层(共10层)  | 板楼,130,"10,133元/平"
满两年 税费少 好楼层 业主诚心出售 交通便利,亚东同城逸境 -溧水城北,2室2厅 | 76.53平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,65,"8,494元/平"
此房楼层好 采光好 户型设计合理 小区配套齐全 交通好,双塘景苑 -溧水城中,3室2厅 | 91.07平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,95,"10,432元/平"
户型通透，近游小和地铁，出行方便。采光好无遮挡。,橡树城 -溧水城北,2室2厅 | 85.76平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,66,"7,696元/平"
卧龙湖 环境优美 采光刺眼 可看湖景,卧龙湖 -溧水其它,2室1厅 | 80.96平米 | 南 | 其他 | 中楼层(共20层)  | 板楼,64,"7,906元/平"
中城花园 环境优美 配套设施齐全 户型方正 看房方便,中城花园 -溧水城北,2室2厅 | 60平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,45,"7,500元/平"
秦淮东郡 配套成熟 户型方正 急售 看房方便,秦淮东郡 -溧水城中,3室2厅 | 95.55平米 | 南 | 简装 | 高楼层(共24层)  | 板塔结合,76.8,"8,038元/平"
金东城世家，交通便利，配套齐全,金东城世家一期 -溧水城北,3室1厅 | 93.91平米 | 南 | 其他 | 低楼层(共5层)  | 板楼,85,"9,052元/平"
橡树城 三室一厅 精装 中间楼层 有钥匙随时看,橡树城 -溧水城北,3室2厅 | 100.57平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,102,"10,143元/平"
诚心出售，户型通透，采光好，配套齐全,金东城世家西园二期 -溧水城北,2室2厅 | 87平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,81,"9,311元/平"
房子正常出售，看房预约.....看中可谈,屏溪佳苑 -溧水其它,2室2厅 | 60.66平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,33,"5,441元/平"
创维乐活城 大两房 户型方正 毛坯 新空电梯 采光好,创维乐活城 -溧水城北,2室2厅 | 86.23平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,68.8,"7,979元/平"
诚心急售 满两年 南北通风近公园地铁,万科城棕榈苑 -溧水城南,3室2厅 | 89.97平米 | 南 | 其他 | 低楼层(共23层)  | 塔楼,96,"10,671元/平"
景观楼层 阳光好 精装修 满五年,中南锦城 -溧水城南,2室2厅 | 83.64平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,95,"11,359元/平"
满两年 好楼层 单价低随时看房,幸福佳苑 -溧水城南,2室2厅 | 92.59平米 | 南 | 其他 | 高楼层(共10层)  | 板塔结合,84,"9,073元/平"
溧水恒大大型社区，好楼层，采光充足，环境优美,恒大金碧天下天鸿苑 -溧水恒大,2室1厅 | 86.69平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,76.6,"8,837元/平"
满五年 采光好 视野开阔 户型优越 高档开发商毛坯房,恒大金碧天下闻涛苑 -溧水恒大,4室2厅 | 155.39平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,165,"10,619元/平"
中山首府89.14平米三房好楼层诚心出售,中山首府 -溧水城南,3室2厅 | 89.14平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,113,"12,677元/平"
城南好房 万科物业 三房采光充足 满二 税少,万科城棕榈苑 -溧水城南,3室1厅 | 98.81平米 | 南 北 | 其他 | 低楼层(共23层)  | 塔楼,109,"11,032元/平"
恒大湖景房出售，精装修，设施齐全，诚心出,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 104.09平米 | 南 | 其他 | 中楼层(共33层)  | 塔楼,91,"8,743元/平"
秦淮花苑好房出售，价格好谈！看房方便！,宏泰花苑西区 -溧水城中,2室2厅 | 102.23平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,92,"9,000元/平"
辛庄北苑好房出售 户型方正  得房率高,辛庄北苑 -溧水城南,2室2厅 | 90.82平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,83,"9,139元/平"
水岸康城  97.41平米  全新装修 好楼层  120万,水岸康城 -溧水城南,2室2厅 | 97.41平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,107,"10,985元/平"
此房户型方正，采光充足，看房方便，有储藏室,秦淮花苑福园 -溧水城北,2室1厅 | 61平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,55,"9,017元/平"
全明户型，南北通风格局 ，全屋地暖 ， 精装修,万科城月桂苑 -溧水城南,3室1厅 | 94.3平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,105,"11,135元/平"
万科城棕榈苑  三室两厅  精装修 满两年  好楼层,万科城棕榈苑 -溧水城南,3室2厅 | 98.48平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,108,"10,967元/平"
成熟小区 满两年 两房 配套齐全 交通便利,幸庄佳苑南区 -溧水城南,2室1厅 | 48.43平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,48.5,"10,015元/平"
南方新城60平米精装两房好楼层出售,南方新城B区 -溧水城南,2室1厅 | 59.72平米 | 南 | 其他 | 高楼层(共9层)  | 塔楼,69,"11,554元/平"
电梯房 满两年 简单装修 户型方正 采光好 交通便捷,幸福佳苑 -溧水城南,3室2厅 | 126.05平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,113,"8,965元/平"
精装三房，功能齐全，楼层高，采光、通风好，配套齐全,万科城棕榈苑 -溧水城南,3室2厅 | 89.97平米 | 南 | 其他 | 高楼层(共23层)  | 塔楼,105.3,"11,704元/平"
精装，含设施，可直接入住，满2年。随时看房,中南锦城 -溧水城南,3室1厅 | 87.27平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,104,"11,918元/平"
喜之郎丽湖湾  2-2-1    满二新业主用心精装 随时看,喜之郎丽湖湾 -溧水城北,2室2厅 | 81.02平米 | 南 | 其他 | 低楼层(共21层)  | 板楼,67.5,"8,332元/平"
房产证满2年，采光好，环境优美，花园式小区,恒大金碧天下天鸿苑 -溧水恒大,2室1厅 | 86.69平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,54,"6,230元/平"
此房满五，架空一楼，通透，视野好，光照充足，急售！,秦淮花苑福园 -溧水城北,2室2厅 | 91.39平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,61.8,"6,763元/平"
凯阳花园住宅格局方正，交通便利，得房率高满2年,凯阳花园 -溧水城南,3室2厅 | 114.06平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,135,"11,836元/平"
溧水恒大大型社区，好楼层，采光充足，环境优美,恒大金碧天下天鸿苑 -溧水恒大,3室2厅 | 104.09平米 | 南 北 | 简装 | 低楼层(共33层)  | 塔楼,79,"7,590元/平"
丽湖湾好房出售 3室2厅 满两年 可随时看房,喜之郎丽湖湾 -溧水城北,3室2厅 | 101.57平米 | 南 | 其他 | 中楼层(共21层)  | 板楼,68,"6,695元/平"
好楼层好视野城隍庙夜景尽收眼底无想山一览无余,溧水万达御景仕家一期 -溧水城南,3室1厅 | 106.1平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,141,"13,290元/平"
城南人气小区，庆丰绿村，高层，满五年，采光好,庆丰小区绿村 -溧水城中,3室1厅 | 117.73平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,88,"7,475元/平"
银城电梯洋房 飞机三房 精装未入住 随时看房,银城孔雀城荟见未来 -溧水其它,3室2厅 | 84.82平米 | 南 | 其他 | 低楼层(共9层)  | 板塔结合,101.5,"11,967元/平"
满两年好楼层，毛坯房，采光足视野开阔,创维乐活城 -溧水城北,3室2厅 | 102.26平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,82,"8,019元/平"
溧水城北  卧龙湖地铁  电梯房  精装修  满二,金东城世家一期 -溧水城北,3室2厅 | 98平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,86,"8,776元/平"
电梯房  户型方正 采光好  满五年  交通便捷,学府雅苑 -溧水城南,2室1厅 | 88.77平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,95,"10,702元/平"
金东城世家西园 电梯3房 精装空置 随时看房 满二,金东城世家西园二期 -溧水城北,3室2厅 | 88.8平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,90.8,"10,226元/平"
户型通透，近游小和地铁，出行方便。采光好无遮挡。,橡树城 -溧水城北,3室2厅 | 102.11平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,90,"8,815元/平"
新城佳苑 电梯2房清爽装修拎包入住 满二 可贷款！,新城佳苑 -溧水其它,2室1厅 | 62.18平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,36,"5,790元/平"
银城电梯洋房 飞机三房 精装未入住 随时看房,银城孔雀城荟见未来 -溧水其它,3室2厅 | 84.82平米 | 南 | 其他 | 低楼层(共9层)  | 板塔结合,101.5,"11,967元/平"
电梯房3房1卫，开发商交付精装修，双阳台，采光好,橡树城 -溧水城北,3室2厅 | 102.11平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,120,"11,753元/平"
此房是70年产权住宅，精装修  空置  可看湖面,卧龙湖 -溧水其它,2室1厅 | 72.2平米 | 西南 | 其他 | 中楼层(共20层)  | 板楼,41,"5,679元/平"
电梯房好楼层城南住宅，近体育公园人民医院大润发,和园 -溧水城南,3室2厅 | 136.04平米 | 南 | 其他 | 中楼层(共15层)  | 板楼,160,"11,762元/平"
花园小区，三房带阁楼，省溧附对门,溧水区花园小区 -溧水城南,3室2厅 | 119.16平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,100,"8,393元/平"
此房适宜自住人群 毛培未入住过,金东城世家西园二期 -溧水城北,2室2厅 | 87.2平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,80,"9,175元/平"
景观层 华辉秦淮湾 近通济街 满二年,华辉秦淮湾 -溧水城北,2室2厅 | 86.53平米 | 南 | 其他 | 高楼层(共29层)  | 塔楼,75,"8,668元/平"
精装未入住 视野开阔 电梯3房 好楼层,橡树城 -溧水城北,3室2厅 | 100.27平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,85,"8,478元/平"
满两年，税费低。布局合理，户型方正,秀园西苑保障房 -溧水城中,2室2厅 | 61.28平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,62,"10,118元/平"
房产证满2年，全南采光好，环境优美，拎包入住,恒大金碧天下天鸿苑 -溧水恒大,2室1厅 | 89.83平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,48,"5,344元/平"
凤凰名苑2-2-1-1 92.00m² 62 万,凤凰名苑 -溧水城西,2室2厅 | 92平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,62.8,"6,827元/平"
户型方正，带院子，清爽装修，配套完善。,庆丰小区安居苑 -溧水城中,3室2厅 | 104.15平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,109,"10,466元/平"
前排无遮挡边户明厨明卫满五南北通风,万科城棕榈苑 -溧水城南,3室1厅 | 89.67平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,116,"12,937元/平"
中间楼层 阳光好 满五年 诚心卖 价可谈,凯阳花园 -溧水城南,3室1厅 | 89.69平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 塔楼,79,"8,809元/平"
户型方正，视野开阔，交通便利，配套成熟,琉璃花园 -溧水城南,2室2厅 | 90.85平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,85,"9,357元/平"
满两年 税费少 好楼层 业主诚心出售 交通便利,亚东同城逸境 -溧水城北,2室2厅 | 76.55平米 | 南 北 | 其他 | 高楼层(共27层)  | 塔楼,60,"7,839元/平"
橡树城 卧龙湖地铁游小 一楼带院子 满五,橡树城 -溧水城北,2室2厅 | 85.62平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,92,"10,746元/平"
溧水城北 毛坯电梯房 业主急售,金东城世家西园二期 -溧水城北,2室2厅 | 88.8平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,77,"8,672元/平"
卧龙湖景观房  二居室  自 南北朝向  视野开阔,卧龙湖 -溧水其它,2室2厅 | 94.7平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,123,"12,989元/平"
溧水空港新城三房二厅一卫低总价,新城佳苑 -溧水其它,3室2厅 | 90.75平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,49,"5,400元/平"
北辰两房，老式装修，好楼层诚心出售,北宸新苑 -溧水城北,2室2厅 | 88.96平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,68,"7,644元/平"
橡树城精装三房出售，满二税少，价格可谈，诚心出售,橡树城 -溧水城北,3室2厅 | 99.65平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,87,"8,731元/平"
城南实小旁  纯毛坯房  南北朝向   含一个产权车位,中南锦城 -溧水城南,3室2厅 | 93.64平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,125,"13,349元/平"
亚东好房急售 好楼层 视野采光无遮挡 看房方便,亚东同城逸境 -溧水城北,2室2厅 | 90.81平米 | 南 北 | 其他 | 高楼层(共27层)  | 塔楼,75,"8,260元/平"
房子户型方正 采光好 小洋房 诚心出售,创维乐活城 -溧水城北,2室1厅 | 85.87平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,115,"13,393元/平"
小高层得房率高，中间楼层采光好，视野好,亚东同城印象 -溧水城中,2室2厅 | 98平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,85,"8,674元/平"
"采光好，户型通透，配套齐全,诚心出售",金东城世家西园二期 -溧水城北,3室2厅 | 97.84平米 | 南 东南 | 其他 | 高楼层(共18层)  | 板楼,73,"7,462元/平"
此房楼层好 采光好 户型设计合理 小区配套齐全 交通好,双塘景苑 -溧水城中,2室2厅 | 63.85平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,69,"10,807元/平"
创维乐活城电梯毛坯，经典三室，诚意出售,创维乐活城 -溧水城北,3室2厅 | 92.29平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,73,"7,910元/平"
卧龙湖景观房 东南方向  精装未住过  满2年 方便看房,卧龙湖 -溧水其它,2室1厅 | 71.92平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,45,"6,257元/平"
两室两厅，南北通，阳光好，随时看房溧水新街口位置,静水花园 -溧水城中,2室1厅 | 90.76平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,118,"13,002元/平"
房美价廉，看中可谈，房子精装修，有钥匙，看房联系,琉璃花园 -溧水城南,3室1厅 | 103平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,92,"8,933元/平"
小高层得房率高，中间楼层采光好，视野好,亚东同城印象 -溧水城中,2室2厅 | 98平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,85,"8,674元/平"
房子户型方正 采光好 小洋房 诚心出售,创维乐活城 -溧水城北,2室1厅 | 85.87平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,115,"13,393元/平"
此房精装修，好楼层，户型方正，采光好，诚心出售,天人佳园 -溧水城中,2室2厅 | 86.33平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,65,"7,530元/平"
户型方正 采光好 业主诚心出售 交通便利,亚东同城逸境 -溧水城北,2室1厅 | 85.66平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,75,"8,756元/平"
橡树城精装三房出售，满二税少，价格可谈，诚心出售,橡树城 -溧水城北,3室2厅 | 99.65平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,87,"8,731元/平"
亚东好房急售 好楼层 视野采光无遮挡 看房方便,亚东同城逸境 -溧水城北,2室2厅 | 90.81平米 | 南 北 | 其他 | 高楼层(共27层)  | 塔楼,75,"8,260元/平"
房东诚心出售创维佳园大三房满二年,创维佳园 -溧水城北,3室2厅 | 106.98平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,77,"7,198元/平"
南北通风格局好，配套设施齐全，交通便利，有幼儿园,琴韵华庭 -溧水城北,2室1厅 | 90.03平米 | 东南 南 | 其他 | 低楼层(共6层)  | 板楼,61,"6,776元/平"
中山路三房，走路到三小，单价8000左右,中山路20号 -溧水城中,3室1厅 | 87.16平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,63,"7,229元/平"
电梯房，毛坯，户型方正明厨明卫,创维乐活城 -溧水城北,3室2厅 | 92.29平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,65,"7,044元/平"
此房楼层好 采光好 户型设计合理 小区配套齐全 交通好,双塘景苑 -溧水城中,2室2厅 | 63.85平米 | 南 | 其他 | 高楼层(共25层)  | 板塔结合,69,"10,807元/平"
此房满两年，纯毛坯，高楼层，采光无遮挡，视野开阔,颐园世家 -溧水其它,2室2厅 | 93.09平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,38,"4,083元/平"
北辰两房，老式装修，好楼层诚心出售,北宸新苑 -溧水城北,2室2厅 | 88.96平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,68,"7,644元/平"
卧龙湖景观房 东南方向  精装未住过  满2年 方便看房,卧龙湖 -溧水其它,2室1厅 | 71.92平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,45,"6,257元/平"
创维乐活城电梯毛坯，经典三室，诚意出售,创维乐活城 -溧水城北,3室2厅 | 92.29平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,73,"7,910元/平"
"采光好，户型通透，配套齐全,诚心出售",金东城世家西园二期 -溧水城北,3室2厅 | 97.84平米 | 南 东南 | 其他 | 高楼层(共18层)  | 板楼,73,"7,462元/平"
此房户型方正，好楼层，无遮挡采光好，生活及交通便利,新城佳苑 -溧水其它,3室2厅 | 105平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,55,"5,239元/平"
凯阳花园 好楼层采光好 简单装修 小两房,凯阳花园 -溧水城南,2室2厅 | 85.21平米 | 南 | 其他 | 中楼层(共5层)  | 塔楼,85,"9,976元/平"
品质小区！地理位置优越，设施齐全。,溧水万达御景仕家一期 -溧水城南,4室1厅 | 131.4平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,189,"14,384元/平"
急售！急售，纯毛坯房，看中可谈,新月湾 -溧水城中,3室2厅 | 113.96平米 | 南 | 毛坯 | 低楼层(共22层)  | 暂无数据,100,"8,776元/平"
急售独栋别墅森湖溪谷，院子大，毛坯满五。,森湖溪谷 -溧水其它,6室3厅 | 254平米 | 南 | 毛坯 | 1层  | 暂无数据,263,"10,355元/平"
宏泰2期，业主诚售，价格公道，带阁楼露台，空间实用,宏泰花苑东区 -溧水城中,3室2厅 | 121.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,86,"7,079元/平"
城南好位置，实用面积大，户型方正！,荣昌花园 -溧水城南,3室2厅 | 142.09平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,152,"10,698元/平"
康利华府，138 平跃层，纯毛坯，可随意装修,康利华府 -溧水城南,3室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,145,"10,508元/平"
业主诚心出售！ 户型方正 精装修 拎包入住 满二,嘉德园 -溧水城南,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,126,"11,151元/平"
电梯房，新小区位置优越，配套设施完善，购物方便！,湖韵怡居A区 -溧水城中,3室2厅 | 122平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,110,"9,017元/平"
新小区环境好，户型方正，南北格局，通风好，采光好,秋湖嘉苑二期 -溧水城南,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,60,"4,919元/平"
安居苑一楼带院子 精装修保养到位 拎包入住 位置好,庆丰小区安居苑 -溧水城中,2室2厅 | 83.39平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,97,"11,633元/平"
诚心出售，阳光好！好楼层，双阳台，,远洋万和四季 -溧水其它,3室2厅 | 129.7平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,149,"11,489元/平"
卧龙湖联排出售，独门独院，前后有院子，位置安静,卧龙湖 -溧水其它,4室2厅 | 148.5平米 | 南 | 其他 | 低楼层(共1层)  | 板楼,198,"13,334元/平"
